timestamp,CMC
1753646400,0.2903965
1753650000,0.2923258
1753653600,0.2929103
1753657200,0.2929685
1753660800,0.2916142
1753664400,0.2884245
1753668000,0.2860103
1753671600,0.2878195
1753675200,0.2867062
1753678800,0.2852778
1753682400,0.2886239
1753686000,0.2884237
1753689600,0.2851456
1753693200,0.2854814
1753696800,0.2865489
1753700400,0.2839043
1753704000,0.2837380
1753707600,0.2817073
1753711200,0.2781525
1753714800,0.2731477
1753718400,0.2731889
1753722000,0.2737145
1753725600,0.2728561
1753729200,0.2698233
1753732800,0.2698398
1753736400,0.2696836
1753740000,0.2722297
1753743600,0.2715149
1753747200,0.2707970
1753750800,0.2703129
1753754400,0.2681527
1753758000,0.2652396
1753761600,0.2698003
1753765200,0.2675123
1753768800,0.2712391
1753772400,0.2723618
1753776000,0.2754520
1753779600,0.2767109
1753783200,0.2746122
1753786800,0.2721610
1753790400,0.2734924
1753794000,0.2748014
1753797600,0.2692706
1753801200,0.2648397
1753804800,0.2622787
1753808400,0.2622552
1753812000,0.2638207
1753815600,0.2621293
1753819200,0.2603457
1753822800,0.2584750
1753826400,0.2619406
1753830000,0.2634343
1753833600,0.2637356
1753837200,0.2622052
1753840800,0.2632318
1753844400,0.2604379
1753848000,0.2611076
1753851600,0.2591858
1753855200,0.2603786
1753858800,0.2617667
1753862400,0.2581071
1753866000,0.2604136
1753869600,0.2580924
1753873200,0.2573371
1753876800,0.2549055
1753880400,0.2551572
1753884000,0.2551625
1753887600,0.2598917
1753891200,0.2569958
1753894800,0.2568445
1753898400,0.2587804
1753902000,0.2519471
1753905600,0.2563495
1753909200,0.2546803
1753912800,0.2543331
1753916400,0.2536557
1753920000,0.2557223
1753923600,0.2593519
1753927200,0.2614218
1753930800,0.2645975
1753934400,0.2715105
1753938000,0.2711666
1753941600,0.2734179
1753945200,0.2736867
1753948800,0.2734770
1753952400,0.2754818
1753956000,0.2760838
1753959600,0.2770288
1753963200,0.2724618
1753966800,0.2702846
1753970400,0.2678681
1753974000,0.2614044
1753977600,0.2626059
1753981200,0.2651512
1753984800,0.2600782
1753988400,0.2579739
1753992000,0.2557094
1753995600,0.2586741
1753999200,0.2570613
1754002800,0.2520488
1754006400,0.2513495
1754010000,0.2495385
1754013600,0.2494429
1754017200,0.2543276
1754020800,0.2521069
1754024400,0.2502098
1754028000,0.2477099
1754031600,0.2472827
1754035200,0.2467164
1754038800,0.2445140
1754042400,0.2425314
1754046000,0.2427973
1754049600,0.2454858
1754053200,0.2466913
1754056800,0.2416860
1754060400,0.2534693
1754064000,0.2529059
1754067600,0.2490295
1754071200,0.2461816
1754074800,0.2465217
1754078400,0.2495539
1754082000,0.2465425
1754085600,0.2446237
1754089200,0.2395382
1754092800,0.2422249
1754096400,0.2403149
1754100000,0.2414061
1754103600,0.2408798
1754107200,0.2401690
1754110800,0.2446127
1754114400,0.2427288
1754118000,0.2383305
1754121600,0.2410134
1754125200,0.2376082
1754128800,0.2365231
1754132400,0.2369331
1754136000,0.2374226
1754139600,0.2369845
1754143200,0.2370281
1754146800,0.2322427
1754150400,0.2299124
1754154000,0.2311711
1754157600,0.2291958
1754161200,0.2263601
1754164800,0.2281552
1754168400,0.2299629
1754172000,0.2314634
1754175600,0.2322643
1754179200,0.2301342
1754182800,0.2314876
1754186400,0.2312079
1754190000,0.2337711
1754193600,0.2339260
1754197200,0.2342286
1754200800,0.2347746
1754204400,0.2362735
1754208000,0.2385313
1754211600,0.2407730
1754215200,0.2395727
1754218800,0.2413366
1754222400,0.2467324
1754226000,0.2459268
1754229600,0.2421877
1754233200,0.2455642
1754236800,0.2476002
1754240400,0.2492488
1754244000,0.2484067
1754247600,0.2469166
1754251200,0.2483225
1754254800,0.2478845
1754258400,0.2487842
1754262000,0.2484394
1754265600,0.2487721
1754269200,0.2529841
1754272800,0.2493849
1754276400,0.2516598
1754280000,0.2510875
1754283600,0.2489793
1754287200,0.2497200
1754290800,0.2489403
1754294400,0.2485107
1754298000,0.2492282
1754301600,0.2482515
1754305200,0.2478093
1754308800,0.2463061
1754312400,0.2467411
1754316000,0.2498823
1754319600,0.2501263
1754323200,0.2502365
1754326800,0.2523287
1754330400,0.2523295
1754334000,0.2507027
1754337600,0.2491707
1754341200,0.2508218
1754344800,0.2522985
1754348400,0.2524709
1754352000,0.2505939
1754355600,0.2496726
1754359200,0.2479987
1754362800,0.2481771
1754366400,0.2451946
1754370000,0.2441684
1754373600,0.2449825
1754377200,0.2439632
1754380800,0.2424088
1754384400,0.2433912
1754388000,0.2464015
1754391600,0.2496091
1754395200,0.2492042
1754398800,0.2475129
1754402400,0.2470012
1754406000,0.2412302
1754409600,0.2381487
1754413200,0.2391926
1754416800,0.2410726
1754420400,0.2397830
1754424000,0.2388919
1754427600,0.2373504
1754431200,0.2365837
1754434800,0.2379892
1754438400,0.2391649
1754442000,0.2356290
1754445600,0.2355139
1754449200,0.2353142
1754452800,0.2342582
1754456400,0.2341227
1754460000,0.2391532
1754463600,0.2415205
1754467200,0.2436435
1754470800,0.2426002
1754474400,0.2465329
1754478000,0.2421516
1754481600,0.2408306
1754485200,0.2378665
1754488800,0.2399428
1754492400,0.2419808
1754496000,0.2463683
1754499600,0.2451510
1754503200,0.2476595
1754506800,0.2461862
1754510400,0.2443737
1754514000,0.2439362
1754517600,0.2448009
1754521200,0.2459638
1754524800,0.2447492
1754528400,0.2447005
1754532000,0.2448143
1754535600,0.2434453
1754539200,0.2420503
1754542800,0.2420277
1754546400,0.2452980
1754550000,0.2447332
1754553600,0.2446858
1754557200,0.2455339
1754560800,0.2475014
1754564400,0.2522454
1754568000,0.2536223
1754571600,0.2523438
1754575200,0.2530259
1754578800,0.2507909
1754582400,0.2524991
1754586000,0.2505699
1754589600,0.2503259
1754593200,0.2493958
1754596800,0.2531370
1754600400,0.2540547
1754604000,0.2564635
1754607600,0.2602273
1754611200,0.2595560
1754614800,0.2624632
1754618400,0.2618859
1754622000,0.2630007
1754625600,0.2633006
1754629200,0.2629868
1754632800,0.2609828
1754636400,0.2638668
1754640000,0.2639361
1754643600,0.2637812
1754647200,0.2640750
1754650800,0.2628595
1754654400,0.2628486
1754658000,0.2605334
1754661600,0.2648399
1754665200,0.2609053
1754668800,0.2569110
1754672400,0.2566337
1754676000,0.2628720
1754679600,0.2617102
1754683200,0.2621085
1754686800,0.2623987
1754690400,0.2632171
1754694000,0.2626625
1754697600,0.2619204
1754701200,0.2616680
1754704800,0.2642310
1754708400,0.2636596
1754712000,0.2614669
1754715600,0.2637258
1754719200,0.2680971
1754722800,0.2653533
1754726400,0.2665881
1754730000,0.2675590
1754733600,0.2678230
1754737200,0.2681785
1754740800,0.2655868
1754744400,0.2689768
1754748000,0.2632357
1754751600,0.2641352
1754755200,0.2628950
1754758800,0.2629427
1754762400,0.2651885
1754766000,0.2663634
1754769600,0.2657754
1754773200,0.2664147
1754776800,0.2644876
1754780400,0.2664337
1754784000,0.2662538
1754787600,0.2678966
1754791200,0.2669899
1754794800,0.2652286
1754798400,0.2676372
1754802000,0.2708545
1754805600,0.2648679
1754809200,0.2622205
1754812800,0.2582080
1754816400,0.2589745
1754820000,0.2579779
1754823600,0.2560898
1754827200,0.2563729
1754830800,0.2576035
1754834400,0.2567980
1754838000,0.2596784
1754841600,0.2592475
1754845200,0.2594865
1754848800,0.2589322
1754852400,0.2602903
1754856000,0.2603449
1754859600,0.2589254
1754863200,0.2572058
1754866800,0.2572972
1754870400,0.2593648
1754874000,0.2591944
1754877600,0.2634171
1754881200,0.2692654
1754884800,0.2662662
1754888400,0.2655823
1754892000,0.2659382
1754895600,0.2664767
1754899200,0.2613199
1754902800,0.2633465
1754906400,0.2614377
1754910000,0.2592039
1754913600,0.2530261
1754917200,0.2530312
1754920800,0.2550550
1754924400,0.2540092
1754928000,0.2535500
1754931600,0.2529541
1754935200,0.2520759
1754938800,0.2512914
1754942400,0.2475722
1754946000,0.2475870
1754949600,0.2455895
1754953200,0.2460344
1754956800,0.2470202
1754960400,0.2496670
1754964000,0.2499192
1754967600,0.2497097
1754971200,0.2484425
1754974800,0.2496313
1754978400,0.2468540
1754982000,0.2466187
1754985600,0.2488418
1754989200,0.2477461
1754992800,0.2462622
1754996400,0.2464682
1755000000,0.2468888
1755003600,0.2513553
1755007200,0.2507325
1755010800,0.2542234
1755014400,0.2559764
1755018000,0.2561874
1755021600,0.2573022
1755025200,0.2582805
1755028800,0.2610058
1755032400,0.2627693
1755036000,0.2605549
1755039600,0.2613096
1755043200,0.2606368
1755046800,0.2592256
1755050400,0.2577611
1755054000,0.2602917
1755057600,0.2617976
1755061200,0.2626545
1755064800,0.2591209
1755068400,0.2593146
1755072000,0.2622273
1755075600,0.2646810
1755079200,0.2659513
1755082800,0.2665351
1755086400,0.2646055
1755090000,0.2631619
1755093600,0.2640010
1755097200,0.2614642
1755100800,0.2623580
1755104400,0.2635977
1755108000,0.2641095
1755111600,0.2630150
1755115200,0.2646499
1755118800,0.2638041
1755122400,0.2633157
1755126000,0.2656932
1755129600,0.2664922
1755133200,0.2673360
1755136800,0.2707197
1755140400,0.2743026
1755144000,0.2734770
1755147600,0.2712334
1755151200,0.2684994
1755154800,0.2707404
1755158400,0.2703677
1755162000,0.2683128
1755165600,0.2692839
1755169200,0.2635142
1755172800,0.2622403
1755176400,0.2513344
1755180000,0.2534337
1755183600,0.2543523
1755187200,0.2528511
1755190800,0.2489739
1755194400,0.2489995
1755198000,0.2494734
1755201600,0.2491251
1755205200,0.2493689
1755208800,0.2474203
1755212400,0.2492901
1755216000,0.2486422
1755219600,0.2494296
1755223200,0.2507448
1755226800,0.2506335
